,sl_no,video_id,user_id,comment,likes,last_update_time,sentiment,sentiment_label,stemmed_text,stemmed_clean_text
0,1,IBe2o-cZncU,UCETH_ePd6_jXtrT9hvJ8EAg,Singularity: The day you wanna turn off your pc but it refuses,58,2019-12-14T03:30:13.000Z,0.0,neutral,singular the day you wan na turn off your pc but it refus ,"['singular', 'day', 'wan', 'turn', 'pc', 'refus']"
1,2,IBe2o-cZncU,UCVYV59yMBaZfUfbKRvIrsGQ,Jack Ma AI: Alibaba Intelligence,930,2019-12-09T13:00:25.000Z,0.0,neutral,jack Ma AI alibaba intellig ,"['jack', 'Ma', 'AI', 'alibaba', 'intellig']"
2,3,IBe2o-cZncU,UCw40cwbkNDrFpdd4YUig3iw,"Alan Turing deserve recognition for his work on ""learning machines"" which is still relevant today.",136,2019-12-09T13:34:53.000Z,0.4,positive,alan ture deserv recognit for hi work on learn machin which is still relev today ,"['alan', 'ture', 'deserv', 'recognit', 'hi', 'work', 'learn', 'machin', 'still', 'relev', 'today']"
3,4,IBe2o-cZncU,UCmrcSjCCikF4I68gMdRV64A,Your production house gives us the fascinating tech videos and silicon valley like stuff that Hollywood doesn't focus upon. Thankyou very much!,653,2019-12-09T12:54:02.000Z,0.5125,positive,your product hous give us the fascin tech video and silicon valley like stuff that hollywood doe focu upon thankyou veri much ,"['product', 'hous', 'give', 'us', 'fascin', 'tech', 'video', 'silicon', 'valley', 'like', 'stuff', 'hollywood', 'doe', 'focu', 'upon', 'thankyou', 'veri', 'much']"
4,5,IBe2o-cZncU,UChC_nPFZN2_OwogxYTC_TMQ,Sarah Connor is watching this and making a list,126,2019-12-09T15:16:38.000Z,0.0,neutral,sarah connor is watch thi and make a list ,"['sarah', 'connor', 'watch', 'make', 'list']"
5,6,IBe2o-cZncU,UCtFK3aDzIJ1uIT1dw5aTlSQ,This isnt going to end well for homosapiens. Especially the part where the AI had found a way to break the rules and win the game .,583,2019-12-09T13:57:19.000Z,0.13333333333333333,neutral,thi isnt go to end well for homosapien especi the part where the AI had found a way to break the rule and win the game ,"['isnt', 'go', 'well', 'homosapien', 'especi', 'part', 'AI', 'found', 'way', 'break', 'rule', 'win', 'game']"
6,7,IBe2o-cZncU,UCKwGmTBR_zuX6wZlXm6dnyg,1989: Machines will destroy mankind 2019: The inventors of AI are genius,93,2019-12-09T20:21:49.000Z,-0.2,neutral,1989 machin will destroy mankind 2019 the inventor of AI are geniu ,"['1989', 'machin', 'destroy', 'mankind', '2019', 'inventor', 'AI', 'geniu']"
7,8,IBe2o-cZncU,UClkksd6Xi7sKiKMVdI4R5SA,"""Science isn't about ""Why?"", It's about ""Why not?""!"" - Cave Johnson",18,2019-12-12T23:54:24.000Z,0.0,neutral,scienc is about whi It about whi not cave johnson ,"['scienc', 'whi', 'It', 'whi', 'cave', 'johnson']"
8,9,IBe2o-cZncU,UCxzt3KkAsExDx6O9In0Y5QQ,The Perceptron AI AI: This picture is of a man. 2020: ITS MA'AM!!,60,2019-12-09T16:47:23.000Z,0.0,neutral,the perceptron AI AI thi pictur is of a man 2020 it ,"['perceptron', 'AI', 'AI', 'pictur', '2020']"
9,10,IBe2o-cZncU,UCaSAhN17LMRMK2OHckR8RSg,Maybe an AI will discover a solution to Geoffert Hilton's Medical Disorder,77,2019-12-09T14:51:26.000Z,0.0,neutral,mayb an AI will discov a solut to geoffert hilton medic disord ,"['mayb', 'AI', 'discov', 'solut', 'geoffert', 'hilton', 'medic', 'disord']"
10,11,IBe2o-cZncU,UCMZFU29-gKJeuJvItjoiymA,"As advanced and revolutionary as it is today, I was so shocked that AI's beginnings date back to the 1950s",555,2019-12-09T12:57:02.000Z,-0.09999999999999998,neutral,As advanc and revolutionari as it is today I wa so shock that AI begin date back to the 1950 ,"['As', 'advanc', 'revolutionari', 'today', 'I', 'wa', 'shock', 'AI', 'begin', 'date', 'back', '1950']"
11,12,IBe2o-cZncU,UCJ9pZgUr3Xoe3WX52OxaYQw,"The title should be ""who invented Artificial Neural Network"" beacuse AI itself is vast topic",60,2019-12-10T03:10:43.000Z,-0.3,neutral,the titl should be who invent artifici neural network beacus AI itself is vast topic ,"['titl', 'invent', 'artifici', 'neural', 'network', 'beacus', 'AI', 'vast', 'topic']"
