sl_no,video_id,user_id,comment,likes,last_update_time,sentiment,sentiment_label
0,IBe2o-cZncU,UCETH_ePd6_jXtrT9hvJ8EAg,Singularity: The day you wanna turn off your pc but it refuses,58,2019-12-14T03:30:13.000Z,0.0,neutral
1,IBe2o-cZncU,UCVYV59yMBaZfUfbKRvIrsGQ,Jack Ma AI: Alibaba Intelligence,930,2019-12-09T13:00:25.000Z,0.0,neutral
2,IBe2o-cZncU,UCw40cwbkNDrFpdd4YUig3iw,"Alan Turing deserve recognition for his work on ""learning machines""  which is still relevant today.",136,2019-12-09T13:34:53.000Z,0.4,positive
3,IBe2o-cZncU,UCmrcSjCCikF4I68gMdRV64A,Your production house  gives us  the fascinating tech videos and silicon valley like stuff that  Hollywood doesn't focus upon. Thankyou very much!,653,2019-12-09T12:54:02.000Z,0.5125,positive
4,IBe2o-cZncU,UChC_nPFZN2_OwogxYTC_TMQ,Sarah Connor is watching this and making a list,126,2019-12-09T15:16:38.000Z,0.0,neutral
5,IBe2o-cZncU,UCtFK3aDzIJ1uIT1dw5aTlSQ,This isnt going to end well for homosapiens.  Especially the part where the AI had found a way to break the rules and win the game .,583,2019-12-09T13:57:19.000Z,0.13333333333333333,neutral
6,IBe2o-cZncU,UCKwGmTBR_zuX6wZlXm6dnyg,1989: Machines will destroy mankind 2019: The inventors of AI are genius,93,2019-12-09T20:21:49.000Z,-0.2,neutral
7,IBe2o-cZncU,UClkksd6Xi7sKiKMVdI4R5SA,"""Science isn't about ""Why?"", It's about ""Why not?""!"" - Cave Johnson",18,2019-12-12T23:54:24.000Z,0.0,neutral
8,IBe2o-cZncU,UCxzt3KkAsExDx6O9In0Y5QQ,The Perceptron AI   AI: This picture is of a man.   2020: ITS MA'AM!!,60,2019-12-09T16:47:23.000Z,0.0,neutral
9,IBe2o-cZncU,UCaSAhN17LMRMK2OHckR8RSg,Maybe an AI will discover a solution to Geoffert Hilton's Medical Disorder,77,2019-12-09T14:51:26.000Z,0.0,neutral
10,IBe2o-cZncU,UCMZFU29-gKJeuJvItjoiymA,"As advanced and revolutionary as it is today, I was so shocked that AI's beginnings date back to the 1950s",555,2019-12-09T12:57:02.000Z,-0.09999999999999998,neutral
11,IBe2o-cZncU,UCJ9pZgUr3Xoe3WX52OxaYQw,"The title should be ""who invented Artificial Neural Network"" beacuse AI itself is vast topic",60,2019-12-10T03:10:43.000Z,-0.3,neutral
12,IBe2o-cZncU,UCPzZBnzLkFFK8SCJm3odl1g,"A name like Cardi B will soon be forgotten A name like Geoffrey Hinton will be echo throughout the ages, taking it's place among others like Newton & Galileo.",438,2019-12-09T14:18:29.000Z,0.0,neutral
13,IBe2o-cZncU,UCs8MxkSP7w-DrLn0-umI_HQ,Tom from Tom and Jerry is the first one who lost their job because of AI,127,2019-12-09T12:54:02.000Z,0.25,neutral
14,IBe2o-cZncU,UC3Tmb9xcMFSDXcmCCAFJnjw,A. I is equally interesting and freaky at the same time.,73,2019-12-09T13:15:49.000Z,0.25,neutral
15,IBe2o-cZncU,UCIDEkmfGyEDYwTY6llRO8gA,The real magic happens when AI starts identifying problems that we dont even know we have,9,2019-12-15T01:16:07.000Z,0.75,positive
16,IBe2o-cZncU,UCOAn0ddmqcCKEEw3gk_Q75g,In North Korea: Kim Il Sung invented AI,7,2020-01-02T13:06:46.000Z,0.0,neutral
17,IBe2o-cZncU,UCYCanS1PAuymBsmj-A69iLA,"New order of intelligence, decided all humans were a threat.",70,2019-12-09T13:00:31.000Z,0.13636363636363635,neutral
18,IBe2o-cZncU,UCRX1ytQgRnxA6teQs26qDIw,Does anyone hear “Confusion TV”?,75,2019-12-09T13:38:18.000Z,0.0,neutral
19,IBe2o-cZncU,UCRco-NNaXoFiOZTTunpBwWA,How could you miss John Mccarthy as one of the fathers of AI?,28,2019-12-09T13:19:47.000Z,0.0,neutral
20,IBe2o-cZncU,UC4VxZdSA2y8PHeS8Zf0VuvA,"The title should be: ""Who contributed to the invention of the current state-of-the-art A.I. algorithms"". A.I. is a large and ambiguous term. It is a multi-disciplinary field, where the heart of its theory is driven from math, neuroscience, and computer science fields. In addition, Neural Networks are a subset of algorithms in the machine learning area, where the aim is to design models that learn from data, using many optimizations and engineering methods. The video is good, however, I would be cautious when making such claims. Nonetheless, the scientists mentioned in the video are brilliant, and their determination is what drove A.I to its current status.",79,2019-12-09T13:44:51.000Z,0.33061224489795915,positive
21,IBe2o-cZncU,UCNBXAUZZ6senluQj2Fjr1fw,"This is one of the best channels I've ever found on Youtube, Period! Thanks Dagogo for ColdFusion!",5,2019-12-09T17:32:54.000Z,0.625,positive
22,IBe2o-cZncU,UCWt3G_Q2d4hSM7VebZDJoFw,"""Originally from Britain in the UK.""  That's kind of like saying ""from The United States in America"".   He was born in England,  so it should be ""originally from England in the UK"".   :-)  As always though,  fascinating content,  and excellent production values.   :-)",34,2019-12-09T13:26:17.000Z,0.5785714285714285,positive
23,IBe2o-cZncU,UCHjnIGmnClRW1nXpkC-XyQA,Well done Dagogo. Love the presentation style as always.,11,2019-12-09T13:02:44.000Z,0.5,positive
24,IBe2o-cZncU,UC6yYMFfEBYgszVmwTGxjdKQ,16:15 Hinton:  >: (,14,2019-12-09T13:15:57.000Z,-0.125,neutral
25,IBe2o-cZncU,UC4Ca9sfrNS5BqgC7XKlwACg,I am waiting for the day the NPC in games will be fully functioning multi-purpose AI that i can talk to when my friends go out without me,5,2019-12-09T13:56:05.000Z,0.0,neutral
26,IBe2o-cZncU,UC2crh06Nz5QwRaXOLYW0wAg,11:55 when I played the Turing test there was a point where the game claims that it's puzzles could only be solved by a human because an ai would never make the leaps of reasoning like throwing the block through the window.... And I knew that just wasn't true. AI would be just as good as a human at trying random shit till something worked. Hell I bet most of us have brute forced our way through puzzles never figuring out the actual logic to solve them.,5,2019-12-09T16:50:19.000Z,0.013636363636363624,neutral
